id,status,title,progress,score,start_date,finish_date,last_watch_date,total_rewatch,notes
4d0c4bceab6d,plan to watch,"6.5, 18.05.2025,[*] How NOT to summon a demon lord",,,,,,,
744b42c3fc07,plan to watch,",18.12.2024,[*] ep,Mahou Shoujo ni Akogarete",,,,,,,
b1b4545b113a,plan to watch,",18.12.2024, [*], Повелитель тьмы на подработке (Hataraku Maou-sama!), 13 ep",,,,,,,
9f6035382290,plan to watch,"8.3,20.12.2024 - 25.05.2025- 18.06.2025, 28.06.2025,06.07.2025 [*], 23 ep Kusuriya no Hitorigoto Season 2",,,,,,,
4c6474d97f7c,plan to watch,"10,12.02.2025-14.02.2025, [*], 14 + 1 special, Angel Beats",,,,,,,
80d70d6d7ebe,plan to watch,"9.5,12.02.2025,17.02.2025 [*] 12 ep, Kakegurui",,,,,,,
50b92c95bb5d,plan to watch,"7.8,17.02.2025 [*] 12 ep, Kakegurui xx",,,,,,,
a2429dab7a61,plan to watch,"10, 05.03.2025-06.03.2025 [*] Steins Gate 0",,,,,,,
64eb56cff231,plan to watch,"6.5, 06.03.2025-12.03.2025, [*], 10 ep, How NOT to summon a demon lord Omega (second season)",,,,,,,
346ace4157a1,plan to watch,"8.0,18.03.2025,[*] 12 ep, Headhunter to Another World: From Salaryman to Big Four! (Salaryman ga Isekai ni Ittara Shitennou ni Natta Hanashi)",,,,,,,
052d699ba9b0,plan to watch,"03.04.2025, [x] 1ep, Please put them on, Takamine San",,,,,,,
57a3180dac57,plan to watch,"03.04.2025, [x] 2ep, Ive been killing slimes for 300years and maxed my level",,,,,,,
aae008465cc0,plan to watch,"03.04.2025,20,12.2025 [ ] 4ep, Miss Kobayashis dragon maid",,,,,,,
900c7f002b03,plan to watch,"8.6, 08.04.2025-09.04.2025, [*] 13 ep, Arifureta Season 1",,,,,,,
68b166190b4f,plan to watch,"8.5, 09.04.2025-11.04.2025, [*] 12 ep, Arifureta Season 2",,,,,,,
1d21dab73d1b,plan to watch,"9, 11.04.2025, [*] 16 ep, Arifureta Season 3",,,,,,,
d97fb0a95970,plan to watch,"10,13.04.2025, [*] 12 ep, My Dress Up Darling",,,,,,,
1ec647e1ff3c,plan to watch,"24.04.2025, [ ] 1 ep, Highschool DxD NEW",,,,,,,
18ba5c5868fa,plan to watch,"27.04.2025, [ ] 11 ep Chobits",,,,,,,
a9e63a6131cc,plan to watch,"7.8, 09.06.2025, [ ] 2 half watched, Monster Musume",,,,,,,
db1b35546b15,plan to watch,"9, 18.06.2025, [*] Promised Neverland Season 1",,,,,,,
e33202f4fbc6,plan to watch,"9,18.06.2025-19.06.2025-22.05-2025,01-06-2026 [*] Mushi-shi 24 ep",,,,,,,
66e953f37e75,plan to watch,"22.05.2025 ~ 28.06.2025 ~ 06.07.2025, [*] Monster Musume 12 ep",,,,,,,
7203e5bda2d2,plan to watch,"10, 07.07.2025, [*] Konosuba Gods Blessing on wonderful world: Lenend of Crimson (full movie)",,,,,,,
7885e83a9d83,plan to watch,"9, 07.07.2025, [*] Konosuba Gods Blessing on wonderful world: God's Blessings On This Wonderful Choker!",,,,,,,
2fd562836a58,plan to watch,"07.07.2025, [*] Konosuba Gods Blessing on wonderful world 3: bonus stage",,,,,,,
1ea91e1b8354,plan to watch,"07.07.2025, [*] Konosuba Gods Blessing on wonderful world 2: Works of art!",,,,,,,
66e092e9ae02,plan to watch,"13.07.2025,25.12.2025,28.05.2026 [*], My Dress-Up Darling Season 2, 12 ep",,,,,,,
8d32c6d1b19e,plan to watch,"7.8, 13.07.2025, [*], Immoral Guild, 12 ep",,,,,,,
17ec338ee7b7,plan to watch,"7.6, 20.07.2025, [*] Oniichan wa Oshimai! 12 ep",,,,,,,
afec5d38fc81,plan to watch,",21.07.2025, [*] isekai wa smartphone to tomo ni 12 ep",,,,,,,
6cdb7515eeab,plan to watch,"8,22.07.2025, [*] isekai wa smartphone to tomo ni season 2",,,,,,,
efe6b53e787f,plan to watch,"10,27.07.2025,[*] Kizumonogatari I Tekketsuhen",,,,,,,
1aad3140ed13,plan to watch,"10,27.07.2025,[*] Kizumonogatari II Nekketsuhen",,,,,,,
c12c156722bf,plan to watch,"10,27.07.2025,[*] Kizumonogatari III Reiketsuhen",,,,,,,
817062921363,plan to watch,"8,27.07.2025,[*] Nekomonogatari 4 ep",,,,,,,
dc3e067d9685,plan to watch,"9,28.07.2025-29.07.2025, [*] Bakemonogatari 15 ep",,,,,,,
c62f3f4c7775,plan to watch,"9.6, 30.07.2025, 02.08.2025, [*] Nisemonogatari 11 ep",,,,,,,
89587e3e3ba1,plan to watch,"10,02.08.2025,15.08.2025,16.08.2025, [*] Monogatari Series Second Season, 26 ep",,,,,,,
a1a05d8b4c52,plan to watch,"9.6,08.08.2025, [*] Maou-sama, Retry! 12 ep",,,,,,,
090f72ba551e,plan to watch,"7.6,08.08.2025-09.08.2025, [*] Maou-sama, Retry! R, 6 ep",,,,,,,
1cf14eecfafc,plan to watch,"5,09.08.2025, [x] Ichiban Ushiro no Daimaou, 7 ep",,,,,,,
42b9ec593853,plan to watch,"9,12.08.2025, [*] Watamote, 12 ep",,,,,,,
bed745c88e2e,plan to watch,"9, 12.08.2025, [*] Watamote: Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!: Motenaishi, Nazomeite Miru 1 ep",,,,,,,
aff86d68511f,plan to watch,", 14.08.2025, [x] Shinmau Maou Testament (testament of sister new devil) 2 ep",,,,,,,
13d205c39a21,plan to watch,"7.7,16.08.2025 [*] Saga of Tanya the Evil 12 ep",,,,,,,
a5446983b0ca,plan to watch,"9, 30.08.2025 [*] Promised Neverland 2 season",,,,,,,
03e5b3f829cf,plan to watch,"9+, 01.09.2025, [x] Tate no Yuusha no Nariagari (Shield Hero isekai) 16 ep",,,,,,,
825f7c0376f1,plan to watch,", 08.09.2025, [*] Nidome no Jinsei wa Nani wo Suru (Beginning after an end) 12 ep",,,,,,,
93b87e2ae437,plan to watch,"12.09.2025, [ ] Lucky Star 1 ep",,,,,,,
feab67f16413,plan to watch,"9.6, 12.09.2025, [*] Hanamonogatari 5 ep",,,,,,,
5565caa62952,plan to watch,"9.9, 14.09.2025, [*] Tsukimichi 4 ep",,,,,,,
f9e6000644c4,plan to watch,"8.4,  16.09.2025, [*] Tsukimichi – Moonlit Fantasy 12 ep",,,,,,,
0cdf9031807f,plan to watch,"8, 16.09.2025,21.09.2025, [*] Tsukimichi – Moonlit Fantasy 2 season 25 ep",,,,,,,
25ac8ee85cfe,plan to watch,"9.9,24.09.2025,27.03.2026, [*] Isekai Ojisan 13 ep",,,,,,,
359483c09a7d,plan to watch,"10,24.09.2025, [*] Attack on titan 1 season 25 ep's",,,,,,,
